CMDLINE /home/nvremort/miniconda3/envs/mypythonenv/bin/python3.14 profiling_decorator.py
MEM 34.550781 1773829306.7981
MEM 34.550781 1773829306.8985
MEM 34.550781 1773829306.9989
MEM 34.550781 1773829307.0992
MEM 34.550781 1773829307.1994
MEM 34.550781 1773829307.2999
MEM 34.550781 1773829307.4002
MEM 34.550781 1773829307.5005
MEM 34.550781 1773829307.6011
MEM 34.550781 1773829307.7015
MEM 34.550781 1773829307.8021
MEM 34.550781 1773829307.9027
MEM 34.550781 1773829308.0032
MEM 34.550781 1773829308.1036
MEM 34.550781 1773829308.2042
MEM 34.550781 1773829308.3046
MEM 34.550781 1773829308.4050
MEM 34.550781 1773829308.5055
MEM 34.550781 1773829308.6060
MEM 34.550781 1773829308.7064
MEM 34.550781 1773829308.8067
MEM 34.550781 1773829308.9073
MEM 34.550781 1773829309.0076
MEM 34.550781 1773829309.1079
MEM 34.550781 1773829309.2084
MEM 34.550781 1773829309.3087
MEM 34.550781 1773829309.4091
MEM 34.550781 1773829309.5095
MEM 34.550781 1773829309.6099
MEM 34.550781 1773829309.7103
MEM 34.550781 1773829309.8109
MEM 34.550781 1773829309.9113
MEM 34.550781 1773829310.0116
MEM 34.550781 1773829310.1120
